"Species","Limb_Width","Limb_Length","Observer"
"Sagittarius serpentarius",0.187823242453108,1.74916226993518,"Observer C"
"Pandion haliaetus",1.0500962408734,1.39969443880241,"Observer A"
"Falco peregrinus",1.46585651214862,0.968348834259226,"Observer C"
"Pandion haliaetus",0.0947303160598458,2.22623982914405,"Observer B"
"Falco peregrinus",1.908482019449,1.38437625944696,"Observer B"
"Pandion haliaetus",0.719432667313146,2.2856644196889,"Observer C"
"Corvus albus",1.79645401626947,4.43849866766832,"Observer C"
"Falco peregrinus",0.040851478073491,3.22289659320586,"Observer B"
"Pandion haliaetus",0.0943219027669549,0.443025764005094,"Observer A"
"Falco peregrinus",1.08990803101022,1.10375981640561,"Observer A"
"Falco peregrinus",1.49335532977244,1.99961282545732,"Observer A"
"Pandion haliaetus",2.36846727949327,1.58144096671453,"Observer C"
"Pandion haliaetus",1.19385848290774,1.47490155517747,"Observer B"
"Strix varia",0.716730459047869,0.117734752697017,"Observer C"
"Strix varia",0.0489440038711782,1.39515335148595,"Observer B"
"Falco peregrinus",0.246204269346545,3.05196251105606,"Observer A"
"Strix varia",1.7102996362,1.67564849738017,"Observer A"
"Falco peregrinus",0.839654396141837,3.58848900654877,"Observer B"
"Corvus albus",0.770990012364698,1.39972809979201,"Observer B"
"Corvus albus",2.12372278491888,0.205753626042566,"Observer A"
"Falco peregrinus",0.404699346170608,1.98439718091413,"Observer C"
"Sagittarius serpentarius",1.2385198422457,0.617222573177915,"Observer B"
"Strix varia",1.37707282971995,4.4363011657502,"Observer C"
"Strix varia",0.768324234359331,0.659436512163389,"Observer C"
"Sagittarius serpentarius",2.01578691186805,3.22668568674418,"Observer A"
"Falco peregrinus",0.0400671705591966,1.21521662690368,"Observer B"
"Strix varia",2.98383829436611,1.8908329289112,"Observer A"
"Pandion haliaetus",0.460572397075049,3.76793461662274,"Observer C"
"Strix varia",0.997553388851513,1.7921126326765,"Observer A"
"Pandion haliaetus",2.73231589259416,1.7400808451005,"Observer A"
"Corvus albus",0.517265326633326,3.06930344953396,"Observer A"
"Falco peregrinus",1.95123776114783,2.15418389438446,"Observer B"
"Sagittarius serpentarius",1.68103038918617,2.53904435427541,"Observer C"
"Corvus albus",2.0507730547542,2.45103256354147,"Observer A"
"Sagittarius serpentarius",0.487291769091649,1.56618705544322,"Observer A"
"Sagittarius serpentarius",1.53140859234363,2.65486953099583,"Observer B"
"Falco peregrinus",1.099250575248,2.10937165022356,"Observer B"
"Strix varia",0.85164934931686,0.670300877830851,"Observer A"
"Corvus albus",2.2667831847154,0.447969535169177,"Observer B"
"Sagittarius serpentarius",0.975205656903232,2.00165846229345,"Observer B"
"Corvus albus",0.848137105943868,0.580921301690407,"Observer B"
"Corvus albus",0.531579077719248,2.25796976768245,"Observer B"
"Sagittarius serpentarius",4.61752609654939,1.72581497814042,"Observer B"
"Pandion haliaetus",2.49870278675049,1.86773145645654,"Observer B"
"Strix varia",1.440288157093,0.436083376480173,"Observer B"
"Sagittarius serpentarius",1.62817974867595,0.106983437030951,"Observer C"
"Pandion haliaetus",1.16840676090921,0.999724351033781,"Observer A"
"Sagittarius serpentarius",0.481230921020232,2.23975174344797,"Observer C"
"Falco peregrinus",1.93357192433235,1.54191282342533,"Observer B"
"Corvus albus",3.27655192623103,0.529739567612285,"Observer A"
"Falco peregrinus",0.49007478332292,0.132683914952275,"Observer B"
"Falco peregrinus",2.3318473497771,1.23479455539229,"Observer C"
"Sagittarius serpentarius",2.89268240739955,0.0716271887438706,"Observer C"
"Strix varia",0.0382718146136488,1.5680419759115,"Observer A"
"Strix varia",2.09007075451629,1.15616529496915,"Observer C"
"Pandion haliaetus",1.03723207717675,0.813518250057838,"Observer B"
"Falco peregrinus",3.53275076347941,3.93272167865365,"Observer C"
"Strix varia",0.677245027848008,0.406554577214436,"Observer A"
"Strix varia",1.25347337499961,0.811751444254738,"Observer A"
"Falco peregrinus",2.0941150273527,0.835662505915537,"Observer B"
"Falco peregrinus",0.330638574561758,0.360926356780764,"Observer B"
